,name,country,lat,long,date,temp,humidity,cloud,wind
84,Hilo,US,19.71,-155.08,1569293160,73.98,66,90,9.17
85,Guerrero Negro,MX,27.97,-114.04,1569293161,70.97,79,0,13.69
86,Khatanga,RU,71.98,102.47,1569293161,40.73,72,100,11.41
87,Kottayam,IN,9.59,76.52,1569293161,78.8,83,75,2.24
88,Severo-Kurilsk,RU,50.68,156.12,1569293161,49.91,84,100,22.12
89,Xifeng,CN,42.73,124.72,1569293161,66.11,53,0,12.75
90,Kapaa,US,22.08,-159.32,1569293162,81.19,74,75,18.34
91,Viedma,AR,-40.81,-62.99,1569293162,56.03,34,0,9.35
92,Hithadhoo,MV,-0.6,73.08,1569293162,82.13,77,100,14.32
93,Esperance,AU,-33.86,121.89,1569293163,64.4,55,100,14.99
94,Port Alfred,ZA,-33.59,26.89,1569293163,55.99,76,0,4.0
95,Zhigansk,RU,66.77,123.37,1569293163,40.19,59,0,2.89
96,Nikolskoye,RU,59.7,30.79,1569293163,35.78,74,40,8.95
97,Hermanus,ZA,-34.42,19.24,1569293164,54.52,94,0,5.01
98,Arraial do Cabo,BR,-22.97,-42.02,1569293164,65.57,75,100,14.38
99,Mount Gambier,AU,-37.83,140.78,1569293164,55.4,71,75,12.75
100,Amuntai,ID,-2.42,115.25,1569292913,98.87,32,76,3.13
101,Te Anau,NZ,-45.41,167.72,1569293164,44.51,64,56,9.01
102,San Cristobal,HN,14.68,-86.92,1569293164,69.17,90,84,3.65
103,Bonavista,CA,48.65,-53.11,1569293165,59.0,82,100,13.0
104,Ushuaia,AR,-54.81,-68.31,1569293165,42.8,87,20,6.93
105,Ukiah,US,39.15,-123.21,1569293165,62.22,74,0,3.13
106,Atuona,PF,-9.8,-139.03,1569293165,79.25,79,37,21.32
107,Mbala,ZM,-8.85,31.37,1569293166,65.21,47,0,7.11
108,Namibe,AO,-15.19,12.15,1569293166,67.01,87,2,0.83
109,Lebu,ET,8.96,38.73,1569293166,56.21,91,100,0.56
110,Barrow,AR,-38.31,-60.23,1569293166,51.35,87,0,6.69
111,Kamaishi,JP,39.28,141.86,1569293166,71.6,68,75,10.29
112,Chuy,UY,-33.69,-53.46,1569293167,51.71,82,42,9.6
113,Torbay,CA,47.66,-52.73,1569293167,57.74,100,90,21.92
114,Ponta do Sol,BR,-20.63,-46.0,1569293167,61.25,68,2,10.36
115,Talnakh,RU,69.49,88.39,1569293167,37.4,74,75,26.84
116,Port Augusta,AU,-32.49,137.76,1569293168,61.5,54,0,9.17
117,Yellowknife,CA,62.45,-114.38,1569292998,44.29,70,75,12.75
118,Ust-Maya,RU,60.42,134.54,1569293168,38.39,81,100,9.15
119,Sao Joao da Barra,BR,-21.64,-41.05,1569293168,60.35,86,92,3.96
120,Cayenne,GF,4.94,-52.33,1569293168,77.0,94,0,4.09
121,Zhezkazgan,KZ,47.8,67.71,1569293169,42.8,56,27,11.18
122,Port Moresby,PG,-9.47,147.16,1569293169,86.0,66,75,14.99
123,Corigliano Calabro,IT,39.6,16.52,1569293169,69.01,93,100,1.99
124,Vila Velha,BR,-3.71,-38.6,1569293169,78.8,78,75,14.99
125,Albox,ES,37.39,-2.15,1569293170,62.91,82,0,1.99
126,Dingle,PH,11.0,122.67,1569293170,86.27,70,18,6.89
127,Carnarvon,ZA,-30.97,22.13,1569293170,44.69,50,0,12.37
128,Solok,ID,-0.79,100.66,1569293171,76.19,78,96,1.39
129,Port Hawkesbury,CA,45.62,-61.36,1569293171,66.0,88,90,9.17
130,Aykhal,RU,65.95,111.51,1569293171,35.6,59,75,8.95
131,Talaya,RU,55.79,84.89,1569293171,49.42,76,0,20.13
132,Port-Cartier,CA,50.03,-66.88,1569293171,54.39,81,40,4.7
133,Sandy Bay,AU,-42.9,147.33,1569293172,57.04,47,75,13.87
134,Klaksvik,FO,62.23,-6.59,1569293172,51.8,100,85,19.46
135,Hammerfest,NO,70.66,23.68,1569293172,37.4,86,75,9.17
136,Ormara,PK,25.21,64.64,1569293172,84.65,69,0,1.63
137,Nizhnevartovsk,RU,60.93,76.58,1569293173,41.0,86,75,22.37
138,Inhambane,MZ,-23.87,35.38,1569293173,67.55,87,100,8.63
139,Saint-Denis,FR,48.94,2.36,1569293173,59.2,77,0,11.41
140,Deputatskiy,RU,69.3,139.9,1569293174,34.25,79,100,3.06
141,Bubaque,GW,11.28,-15.83,1569293174,81.59,71,100,3.13
142,Honiara,SB,-9.43,159.96,1569293174,86.0,66,75,11.41
143,Amalner,IN,21.04,75.07,1569293174,78.89,81,93,8.59
144,Saint George,GR,39.45,22.34,1569293105,61.77,87,40,2.15
145,Westport,US,41.14,-73.36,1569293175,75.11,78,90,6.93
146,Victoria,BN,5.28,115.24,1569292906,90.18,49,75,10.29
147,Sao Filipe,CV,14.9,-24.5,1569293175,80.69,87,100,18.16
148,Bukama,CD,-9.2,25.85,1569293175,67.91,65,0,2.39
149,Sinnamary,GF,5.38,-52.96,1569293176,81.59,81,100,11.83
150,Cameta,US,33.01,-90.84,1569293176,81.37,74,75,2.91
151,Alekseyevskaya,RU,45.77,40.15,1569293176,55.0,71,69,9.69
152,Buraydah,SA,26.33,43.97,1569293176,78.8,31,0,5.82
153,Burnie,AU,-41.05,145.91,1569293177,60.01,46,84,13.0
154,Avera,US,33.19,-82.53,1569293177,69.35,68,1,3.96
155,Waipawa,NZ,-39.94,176.59,1569293177,51.01,90,87,3.0
156,Nishihara,JP,35.74,139.53,1569293177,84.99,58,75,6.93
157,Arcachon,FR,44.65,-1.18,1569293177,61.45,87,75,3.36
158,Puerto Ayacucho,CO,5.66,-67.63,1569293178,75.29,83,29,4.29
159,Norman Wells,CA,65.28,-126.83,1569292930,48.2,61,75,5.82
160,Nicoya,CR,10.15,-85.45,1569293178,74.84,88,75,3.36
161,Kalabo,ZM,-15.0,22.67,1569293178,65.03,23,88,6.42
162,Kruisfontein,ZA,-34.0,24.73,1569293179,48.29,80,0,7.18
163,Ciudad Valles,MX,21.99,-99.01,1569293179,64.85,98,51,0.87
164,Cherskiy,RU,68.75,161.3,1569293179,34.97,68,96,3.4
165,Hasaki,JP,35.73,140.83,1569293179,83.61,62,75,4.7
166,Thayetmyo,MM,19.32,95.18,1569293179,83.03,78,92,2.17
167,Longyan,CN,25.1,117.03,1569293180,78.17,42,39,4.12
168,Necochea,AR,-38.55,-58.74,1569293180,51.3,63,0,4.0
169,Kudahuvadhoo,MV,2.67,72.89,1569293180,80.87,84,100,21.03
170,Ankazobe,MG,-18.32,47.12,1569293180,57.2,87,75,6.93
171,Acapulco,MX,16.86,-99.88,1569293181,84.2,79,75,1.41
172,Bluff,AU,-23.58,149.07,1569293181,85.37,20,5,15.55
173,Smolenka,PL,54.15,22.76,1569293181,36.0,94,2,7.2
